filename,starcoder2-3B-2000beg,starcoder2B-2000end,starcoder2B-2000mid
Inno Setup,27.12486252004,26.470305836679998,24.50219500756
Ioke,15.71567658052,14.27906390734,11.21053964028
Isabelle,13.55592270952,13.50328569684,12.54527994028
Isabelle ROOT,12.66459780452,13.57257155634,12.35968773928
J,33.154514606039996,24.722995755680003,24.73498533456
JAR Manifest,15.76913081052,14.88021505184,12.81420493528
JCL,39.38996940656,36.21027830852,43.48985474584
JFlex,34.340336979039996,29.45193251668,27.732728726559998
JSON,529.79932898772,479.50262936474,442.29986312508
JSON with Comments,382.90516961504,361.16775633218,372.96825429256
JSON5,35.45017153504,27.83623083268,25.12020405856
JSONLD,13.63576414652,14.111026427339999,11.69628459928
JSONiq,28.36964138004,26.43441162068,23.832286807560003
Janet,43.623563772560004,44.60565487802,39.55195787884
Jasmin,115.45518323216,107.63152865172,106.64299340124
Java,155.10057413072,153.11153170874,135.38880148808
Java Properties,32.46269650604,24.15581579168,24.43071528656
Java Template Engine,15.10262007852,14.21533493834,12.12618239928
JavaScript,595.0684176818,541.1961843316,496.25633542319997
JavaScript+ERB,14.962132825,14.00549500034,11.323507233279999
Jest Snapshot,17.73906214352,14.752596297339998,12.46037047428
JetBrains MPS,43.70527545156,38.53766390702,38.66535256884
Jinja,32.52093951404,26.12801922868,23.75715409056
Jison,46.461215854,41.459672278019994,37.97430411384
Jison Lex,30.19090132004,28.701533344679998,24.30489525056
Jolie,69.8988730816,66.9522245937,67.4424337234
Jsonnet,13.61018406452,13.09178648684,14.31448026328
Julia,29.919520237040004,28.57876856768,24.964994178559998
Jupyter Notebook,15.11571843852,12.664652300339998,15.12355939928
Just,29.656657380040002,25.61705752468,25.96738423656
KRL,14.23978411652,11.56449650084,11.606330635279999
Kaitai Struct,31.80747329404,32.87293725468,25.69718532156
KakouneScript,41.91812387256,40.82413695002,38.90425749284
KerboScript,41.14461109756,39.26389292252,38.43997839984
KiCad Layout,233.46430045332,238.88431876643997,221.03620577548
KiCad Legacy Layout,16.31991912352,14.46748689134,12.94164045728
KiCad Schematic,104.08082344264,97.47254356338,93.82919790396
Kickstart,41.61594977756,47.231350088019994,38.97051215684
Kit,13.421446535,15.53655782834,12.21577892728
Kotlin,15.19083566452,13.141151274339999,13.08010466728
Kusto,57.24833200008,54.77304736636,54.62054845212
LFE,56.83793883408,57.73784412336,51.04044260312
LOLCODE,12.91939776752,12.40240498034,12.075311964279999
LSL,27.94068110604,27.38450604468,23.96645152556
LTspice Symbol,17.334983455,12.096996060339999,12.29993090028
LabVIEW,166.77322113472,152.70577209773998,143.02133534208
Lark,42.20941304456,37.82331078752,37.12238838084
Lasso,44.73431200056,46.60818558402,38.86709975984
Latte,30.883259754039997,26.31311475268,23.23228062356
Lean,31.85139581004,26.91050654768,23.84975299656
Lean 4,14.85784377652,13.47704003234,12.17972222028
Less,14.30433240752,13.676464853339999,12.74120556828
Lex,27.331284323040002,27.82216586068,28.52932716956
LigoLANG,13.71065352552,12.88059426934,14.81344388628
Limbo,43.31494829756,46.37466620302,37.86403290584
Linker Script,60.25609414708,50.11233554136,51.56626945912
Linux Kernel Module,42.11086264856,39.54594202702,39.68718722284
Liquid,28.35178006504,26.73494743868,26.671112052559998
Literate Agda,14.15622140352,14.54982947934,12.26311484228
Literate CoffeeScript,34.46478576204,25.344450881679997,24.788299673559997
LiveCode Script,59.41190368808,57.27840737336,47.60067114612
LiveScript,13.50055729752,16.06713921034,11.86191272128
