filename,linguist
Liquid,0.7916701931600001
Literate Agda,0.39239357858
Literate CoffeeScript,0.78524436816
LiveCode Script,1.57045346332
LiveScript,0.40855844358
Logos,2.2037585979000003
Logtalk,0.40086743558
LookML,1.18638380174
LoomScript,0.82031596716
Lua,2.75705503406
Luau,1.9957499759
M,13.33923636582
M4,2.0578367209
M4Sugar,1.22385998274
MATLAB,16.53680026762
MAXScript,2.0077287659
MDX,0.39255186058
MLIR,1.57596072932
MQL4,1.3868537007400001
MQL5,1.38748206074
MTML,0.39876156658
MUF,0.82442577316
Macaulay2,0.40197721158
Makefile,4.72894241496
Markdown,4.0194074558
Marko,1.18357809774
Mask,0.59023166658
Mathematica,5.377407922960001
Maven POM,0.39901711658
Max,1.18515704074
Mercury,4.3165161258
Mermaid,4.32834916538
Meson,0.79205555316
Metal,0.39328505358
Microsoft Developer Studio Project,0.43303005158
Microsoft Visual Studio Solution,0.40419014958
MiniYAML,3.6827667542199998
Mint,2.36100621048
Modelica,7.078307955960001
Modula-2,0.41045621358
Modula-3,2.0039543409
Module Management System,1.9998410889
Mojo,0.82666019816
Monkey,1.9785639369
Monkey C,0.41280641558
Moocode,1.7653600747400002
MoonBit,1.9766234819
MoonScript,0.39974364258
Motoko,1.20957372216
Motorola 68K Assembly,2.47413312648
Move,0.79257791716
Muse,0.79872227516
Mustache,1.57216649132
NASL,3.9860940528
NCL,9.561642110280001
NEON,0.79470469016
NL,0.8207025611600001
NMODL,0.82338974416
NPM Config,0.39549140758
NSIS,0.7834739481599999
NWScript,2.37046438748
Nasal,1.19577885116
Nearley,0.39618077058
Nemerle,0.40667472858
NetLinx,0.78660563416
NetLinx+ERB,0.78925362016
NetLogo,0.39942610358
NewLisp,1.20269970474
Nextflow,1.57310167332
Nginx,1.3852614007400001
Nim,2.38169642348
Nit,9.45445579692
Nix,0.39077531458
Noir,1.23418923374
Nu,0.7960503831600001
Nunjucks,0.39593064458
Nushell,0.80475534216
OASv2-json,0.40757959258
OASv2-yaml,0.8242698561599999
OASv3-json,0.40884016358
OASv3-yaml,0.82280131016
OCaml,4.6440134638
Oberon,0.39687466058
Object Data Instance Notation,0.42662616258
ObjectScript,0.41569632958
Objective-C,9.24858098676
Objective-C++,1.1987035181600003
Objective-J,1.8009464547400003
Odin,0.41677786258
Omgrofl,0.39330785658
Opa,0.77927468716
Opal,0.39174250458
Open Policy Agent,1.56689364032
OpenCL,0.81239206616
OpenEdge ABL,3.0639923334800003
OpenQASM,0.38955398658
OpenRC runscript,0.39244672458
OpenSCAD,0.79078433316
OpenStep Property List,0.81029846316
Option List,1.9681362709
Org,0.39387803758
Ox,1.18276877274
Oxygene,0.39503384958
Oz,0.39647937358
P4,0.7907058661599999
PDDL,1.17274456874
PEG.js,0.78412073116
PHP,7.91384270802
PLSQL,3.59128086864
PLpgSQL,2.84330963906
POV-Ray SDL,4.96939547096
Pact,0.79313481016
Pan,7.10710422344
Papyrus,1.19122420274
Parrot Assembly,0.39191822658
Parrot Internal Representation,0.39497787158
Pascal,5.25900895354
Pawn,3.8458839110600005
Pep8,2.77245273706
Perl,11.38448273966
Pic,1.17306537874
Pickle,1.64984545032
PicoLisp,0.40972599158
PigLatin,0.39372740758
Pike,1.18162065274
Pip Requirements,0.78782629316
Pkl,1.23615380274
PlantUML,2.76132105106
Pod,1.63536788832
Pod 6,0.41714456258
PogoScript,0.39574907758
Polar,0.7887018591599999
Pony,2.37374967148
Portugol,0.79066556916
PostCSS,0.78885591116
PostScript,1.18968145374
PowerBuilder,2.75518187648
PowerShell,1.57778655632
Praat,1.17546078374
Prisma,1.9823783709
Processing,0.39086473758
Procfile,0.39035566958
Proguard,1.23333852174
Prolog,4.0389205598
Promela,2.77389740306
Propeller Spin,3.9874012548
Protocol Buffer,0.40486649158
Protocol Buffer Text Format,1.99542359132
Public Key,2.83509385706
Pug,0.78710233016
Puppet,2.4216891979
PureBasic,0.79005654816
PureScript,1.57978131532
Pyret,0.39659279358
Python,8.56127467218
Q#,0.82703355116
QML,0.39486237258
QMake,1.60539568132
Qt Script,0.78495223116
Quake,0.78485042816
QuickBASIC,1.23577194274
R,3.22077789464
RAML,0.39455556658
RBS,0.39822521458
RDoc,0.39704299458
REXX,1.58438620232
RMarkdown,0.7888401001600001
RON,0.39186901458
RPC,1.24491589274
RPGLE,3.54569240622
RPM Spec,1.7876324217400001
RUNOFF,1.65438609132
Racket,0.78228872616
Ragel,1.17523284674
Raku,9.54493121392
Rascal,2.9599420889
ReScript,0.41452242658
Readline Config,0.39473265758
Reason,2.50431236148
ReasonLIGO,0.39775485058
Rebol,2.4055108664800002
Record Jar,0.39596668158
Red,0.78382394216
Redirect Rules,0.39187771758
Regular Expression,1.58108322432
RenPy,0.42107689558
RenderScript,0.8030553971600001
Rez,1.23123404574
Rich Text Format,0.80375589416
Ring,1.57390139532
Riot,0.79340646616
RobotFramework,1.58581587532
Roc,1.58695579532
