,ground-truth,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
RobotFramework,1.0,0.75,0.75,0.75,1.0,0.0,0.0,1.0
Roc,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Roff Manpage,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Roff,1.0,0.0,1.0,0.9444444444444444,1.0,0.0,0.0,0.0
RouterOS Script,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Ruby,1.0,0.46153846153846156,1.0,0.8974358974358975,1.0,0.717948717948718,0.10256410256410256,0.28205128205128205
Rust,1.0,0.75,0.75,0.75,1.0,1.0,0.0,0.75
SAS,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
SCSS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SELinux Policy,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SMT,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SPARQL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
SQF,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SQL,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,0.0,0.0
SQLPL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SRecode Template,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SSH Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
STAR,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
STON,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SWIG,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0
Sage,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SaltStack,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sass,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Scala,1.0,0.5714285714285714,1.0,1.0,1.0,0.2857142857142857,0.0,0.0
Scaml,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Scenic,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Scheme,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Scilab,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
ShaderLab,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Shell,1.0,0.0,0.9272727272727272,0.8545454545454545,1.0,0.8363636363636363,0.0,0.0
ShellCheck Config,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ShellSession,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Shen,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Sieve,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Simple File Verification,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Singularity,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Slash,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Slice,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Slim,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Slint,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SmPL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Smali,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
