filename,cloc,go-enry,guesslang,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
COBOL,0.85101589808,0.11255262204,10.616701037479999,0.06305884164,1.82612649036,0.3122376794,0.9175544605200001,0.52822503192
CODEOWNERS,0.22060315652,0.02770018776,2.59338436012,0.015040751660000002,0.45200724384,0.08069086210000001,0.25374286038000005,0.13182319948
CSON,0.85878551608,0.11113221604000001,10.234629091479999,0.06312322564,1.8189442823600002,0.3068256864,0.9334209025200001,0.52987594692
CSS,0.44225830404,0.05802393652,5.03505205724,0.03217183732,0.9048108696800001,0.1536421052,0.43650538276000006,0.26472607196
CSV,0.21445191052,0.02610273376,2.54040826412,0.01506862466,0.44412687484,0.0793486271,0.22509728138,0.13205936048
CUE,0.42395303104000004,0.06394431452,5.33474548324,0.03201059632,1.3733057876800001,0.1586582692,0.5257457537600001,0.26528502996000003
CWeb,0.42636630604000003,0.05394443152,4.948761875280001,0.02995753332,0.9695977336800001,0.16355258820000002,0.60501573176,0.25359220096
Cabal Config,0.8958586460800001,0.10340018504000001,10.21239821648,0.06355091364,1.8172243523600002,0.3095662384,0.9087649245200001,0.52550698392
Caddyfile,0.42725822804,0.04977493652000001,5.09965996524,0.03095361832,0.89447492868,0.1697092302,0.48638777676000006,0.26311205096
Cadence,1.2778126651200001,0.16461104656,15.293240015719999,0.09616768296,2.59912175904,0.5087689786,1.4278089732800001,0.77726169088
Cairo,1.0778986246,0.1364255338,12.722430973599998,0.0779616943,2.3716065322000004,0.3879338445,1.3715785239000002,0.6494714384
Cairo Zero,1.0744275066,0.1309695808,13.0743804516,0.0759433313,2.3073585522,0.40258928850000003,1.1326745899000001,0.6547717744
CameLIGO,0.21276081252,0.02908731176,2.61207418812,0.01660964866,0.46174338884000005,0.0865421931,0.26425880038000005,0.13008440548
Carbon,0.43059127104000006,0.051983486520000004,4.886668952239999,0.03086666432,0.9174921876800001,0.1544704202,0.45037154976000005,0.25893094396
CartoCSS,0.21361507852,0.02791496676,2.43044980512,0.01699257966,0.46664782884000006,0.08681123610000001,0.19255690538000003,0.13212546748
Ceylon,0.21292382452,0.02913262276,2.56891744812,0.014817754660000002,0.45762220084000005,0.07731248410000001,0.29139188438,0.13323203448
Chapel,1.0741036796,0.1381434758,12.759931824599999,0.0795909683,2.1696137322,0.4164650065,1.3069378369,0.6531027184
Charity,0.21359753952000002,0.02797665776,2.45101779714,0.01560546366,0.6699461868400001,0.07573008710000001,0.33629458438000004,0.12755453648
Checksums,3.85973498936,0.49427037668,46.41204783216,0.28511781488,8.20388779512,1.4473431228,4.11048386884,2.36393455364
Circom,0.64514267156,0.07665356428,7.496133127359999,0.04814194898,1.29557794052,0.25839356830000004,0.7173011951400001,0.39193049644
Cirru,2.98525194728,0.38732107164,34.31900603596,0.22301397424,6.37698925976,1.1786551994,3.1500121313200005,1.91386621272
Clarion,0.8702169820800001,0.11003721404,10.31349602748,0.06303980264,1.73542738036,0.3080974434,1.02499593052,0.52112915392
Clarity,0.65514396356,0.07699463528,7.43664758542,0.04657503598,1.35577744652,0.23315800930000002,0.8384882541400001,0.38131391644
Classic ASP,0.42814759604,0.048981083519999996,5.19100722924,0.03275205332,0.90826449968,0.1651485722,0.45851553976000003,0.25880215396
Clean,1.9269310026800002,0.24620441984,22.558035013079998,0.14554634194000002,4.07569818556,0.7878235099,2.1369653194200002,1.19801358032
Click,0.42874203304,0.05517917852,5.0707955042399995,0.032004077320000004,0.9085960216800001,0.1702293882,0.48584324876000007,0.26223919796
Clojure,2.1565988812,0.2857353906,24.525250093199997,0.15566920960000002,4.3407684574,0.7742319780000001,2.4099857708000005,1.3198080138
Closure Templates,0.21367231452000002,0.02826366776,2.5511817201199998,0.016497901659999998,0.52835519484,0.0762393251,0.23761989838000003,0.12948499548
Cloud Firestore Security Rules,0.21539630852,0.026378377760000002,2.4618151211400003,0.014700080660000002,0.43711593084000006,0.0794139261,0.21392041338000004,0.12783940648
CoNLL-U,0.63942539356,0.07882662928,7.426032319359999,0.04691712298,1.3864985275200001,0.2506261873,0.79519071614,0.38991675843999996
CodeQL,1.28493260412,0.16877932456,15.315212589719998,0.09702841796,2.7264532690400003,0.46659640960000004,1.43842894528,0.78550320588
CoffeeScript,2.2137487782000003,0.2595046506,24.898989099199998,0.1579484256,4.7932502314,0.797408836,2.4459058218000003,1.3039425268
ColdFusion,0.21517947752,0.02436409176,2.7333975381199997,0.015529408660000002,0.44134377584,0.0798469581,0.22707415238000003,0.15396852448
