filename,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Brightscript,0.19761008248,0.023302399880000005,0.011116187119999999,0.39846363158,0.06172306896,0.26691898222,0.13122117558000002
Browserslist,0.39322247496000007,0.047141771760000006,0.02344511924,0.7786647021599999,0.12379635892000002,0.50054526744,0.25803956116000004
C,11.479554703840002,1.3853843380400002,0.69330017996,23.57606238164,3.5862472746800003,14.890438410760002,7.640240482640001
C#,1.7740559283200001,0.21484805992000003,0.10209692908000001,3.86012139322,0.5725737106400001,2.1093600929800003,1.2267916772200003
C++,10.8410807094,1.4017801524000002,0.6349920556,23.2639977459,3.4297042568000005,14.348040710100001,7.215918381900001
CAP CDS,0.9701775414,0.11370551740000001,0.056768032600000004,1.9582644439,0.3112079628,1.1132330761,0.6485721279000001
CIL,0.38705577696000004,0.049940554760000005,0.02426391524,0.79469672416,0.12443399892,0.50568448444,0.26013726916
CLIPS,0.39188418596,0.04819476076000001,0.02384825624,0.80061582416,0.11952955292,0.48125649244,0.25871533416000003
CMake,1.37581589636,0.16359317416000002,0.08075539384000001,2.75382075406,0.41995561172,1.60566358454,0.9256802630600002
COBOL,0.78527024592,0.10100571852000001,0.04693098448000001,1.58913209932,0.23766654784,0.89967367688,0.5223431363200001
CODEOWNERS,0.19446012748000002,0.027560901880000002,0.012127098120000002,0.39244175158,0.061350028960000004,0.25471918922000003,0.12820490758000003
CSON,0.78668285892,0.09270925652,0.04599547048,1.57880961232,0.24274085584,0.96298293788,0.52125863132
CSS,0.41173412096000006,0.04917954476000001,0.02373903424,0.83052937216,0.11826156192000001,0.41129540744000004,0.26380214116
CSV,0.19593711048,0.023471885880000005,0.010603664120000002,0.39126477158,0.057342058960000004,0.22208919722,0.13022997958000002
CUE,0.38718661996000003,0.053186896760000005,0.02153774224,1.2038497121600003,0.13919795092000004,0.50170154244,0.25991162416
CWeb,0.39327153496,0.046917070760000006,0.023573852240000002,0.83046913216,0.11982755892000001,0.5782102414400001,0.26183075616000007
Cabal Config,0.7790258319200001,0.09425373352000001,0.04686277148,1.56354190932,0.23821649384,0.89264002988,0.5216630263200002
Caddyfile,0.39578409296000006,0.04731061476000001,0.024160461240000004,0.79024325516,0.12493930092,0.46403801944,0.25966554716
Cadence,1.15760106588,0.14971996728000003,0.06751945672000001,2.36166965448,0.36760642876000005,1.3932384503200002,0.7753176204800001
Cairo,0.9819889374000002,0.11878826240000001,0.0592545396,2.0665863059,0.30743854680000005,1.3520576901,0.6507839109000001
Cairo Zero,0.9766752914000001,0.12090430040000001,0.0605308906,2.0640301689,0.29918093079999997,1.1209277381,0.6501535229000002
CameLIGO,0.19430139848000003,0.023780858880000002,0.011750621120000002,0.39676481358,0.05599757696,0.25377504322,0.12958970158000002
Carbon,0.38874210396000003,0.052283907760000005,0.02300108124,0.78903752316,0.12445631192,0.46427098844000003,0.2605002161600001
CartoCSS,0.19489849448000002,0.024983996880000005,0.01171992312,0.40768382858,0.06036074896,0.18771892222,0.12963297458000003
Ceylon,0.19665433248000003,0.023082357880000005,0.01112666012,0.39558470758,0.06100295296,0.28881256222,0.13254060158000003
